Agency,Platform,Url,Date_Sampled,Likes_Followers_Visits_Downloads
NYC & Co,Facebook,http://www.facebook.com/nycgo.nl,2011-09-22,249
MOIA,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Immigrant-Affairs/118622031512497,2011-09-22,255
CAU,Facebook,http://www.facebook.com/NYCMayorsCAU,2011-09-22,257
DOITT,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-INFORMATION-TECHNOLOGY-TELECOMMUNICATIONS/104786059565184,2011-09-22,261
City Charter,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-Charter-Revision-Commission/110528715643388,2011-09-22,286
Vets,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Veterans-Affairs/128003537214726,2011-09-22,289
DHS,Facebook,http://www.facebook.com/pages/New-York-NY/HOPE-2011/157690657606772,2011-09-22,290
NYC & Co,Facebook,http://www.facebook.com/nycgo.de,2011-09-22,292
NYC & Co,Facebook,http://www.facebook.com/nycgo.fr,2011-09-22,302
SICB1,Facebook,https://www.facebook.com/CB1SI,2011-09-22,316
ACS,Facebook,http://www.facebook.com/FamilyConnectionsNYC,2011-09-22,329
DCA,Facebook,http://www.facebook.com/NYCDCA,2011-09-22,331
NYC & Co,Facebook,http://www.facebook.com/nycgo.au,2011-09-22,334
NYC & Co,Facebook,http://www.facebook.com/nycgo.ca,2011-09-22,344
NYCHA,Facebook,http://www.facebook.com/NYCHA,2011-09-22,414
NYC & Co,Facebook,http://www.facebook.com/nycgo.uk,2011-09-22,483
,nyc.gov,2800000,2012-01-20,
NYC & Co,Facebook,http://www.facebook.com/nycgo.it,2011-09-22,566
Culture,Facebook,https://www.facebook.com/piypnyc,2011-09-22,676
SBS,Facebook,http://www.facebook.com/NYCBusiness,2011-09-22,698
FUND,Facebook,http://www.facebook.com/mayorsfundtoadvancenyc,2011-09-22,766
DOT,Facebook,http://www.facebook.com/YouTheManNYC,2011-09-22,868
NYC & Co,Facebook,http://www.facebook.com/nycgo.es,2011-09-22,874
HHC,Facebook,http://www.facebook.com/nychhc,2011-09-22,962
MOME,Facebook,http://www.facebook.com/nycmedia.jobhunt,2011-09-22,1081
GreeNYC,Facebook,https://www.facebook.com/birdienyc,2011-09-22,1082
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,2011-09-22,1228
DOH,Facebook,http://www.facebook.com/NYCKnows,2011-09-22,1489
DOE,Facebook,http://www.facebook.com/nycgrads,2011-09-22,1832
DEP,Facebook,http://www.facebook.com/nycwater,2011-09-22,1923
MOME,Facebook,https://www.facebook.com/NYCMedia,2011-09-22,2297
EDC,Facebook,http://www.facebook.com/NYCEDC,2011-09-22,2577
